# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.385981183418e-10       4.278427310968e-15       3.546298679240e-13       0.000000000000e+00       8.307656180912e-09       4.974331448896e-10      -1.846227676172e-12 
    3       1.262538465257e-10       5.361992517050e-15       4.059731467934e-13       0.000000000000e+00       5.118142536625e-09       3.263194143053e-10      -1.391068174219e-12 
    4       1.176362187961e-10       4.557570855793e-15       3.745864554201e-13       0.000000000000e+00       3.555845058707e-09       2.361429128917e-10      -9.059231943597e-13 
    5       1.119414687191e-10       2.992507373823e-15       3.119412374606e-13       0.000000000000e+00       2.651565534124e-09       1.809187666458e-10      -5.015890094724e-13 
    6       1.083335668966e-10       1.649693955243e-15       2.451623441198e-13       0.000000000000e+00       2.068857564115e-09       1.439169696645e-10      -2.067784971794e-13 
    7       1.062079940877e-10       8.852193059401e-16       1.882140807912e-13       0.000000000000e+00       1.666896099761e-09       1.176552276251e-10      -2.127311307623e-14 
    8       1.050570597514e-10       5.730134878860e-16       1.463042414569e-13       0.000000000000e+00       1.375752533147e-09       9.818680180655e-11       7.118565217627e-14 
    9       1.046365119332e-10       4.607638416309e-16       1.197651015035e-13       0.000000000000e+00       1.156887241858e-09       8.326885039598e-11       9.489586962719e-14 
   10       1.047435075309e-10       3.914845351681e-16       1.062873883934e-13       0.000000000000e+00       9.875896281346e-10       7.158649943577e-11       7.623244428985e-14 
   11       1.052176408318e-10       3.294463014169e-16       1.025071315624e-13       0.000000000000e+00       8.465147280089e-10       6.299934892515e-11       3.927497794703e-14 
   12       1.060335126733e-10       2.899360448612e-16       1.050347480363e-13       0.000000000000e+00       7.398152528429e-10       5.533823553387e-11       1.429680969982e-15 
   13       1.070578557352e-10       2.807872199709e-16       1.109598253208e-13       0.000000000000e+00       6.521640408155e-10       4.898048466583e-11      -2.636552667037e-14 
   14       1.082301006121e-10       2.925368265924e-16       1.183241923499e-13       0.000000000000e+00       5.791988324150e-10       4.353352364360e-11      -4.011566098106e-14 
   15       1.095751270754e-10       3.146208333286e-16       1.260848755403e-13       0.000000000000e+00       5.177571885079e-10       3.898022029104e-11      -4.076027219402e-14 
   16       1.110727875806e-10       3.465237926618e-16       1.337769437272e-13       0.000000000000e+00       4.654973279322e-10       3.514398657820e-11      -3.260821736297e-14 
   17       1.126309124689e-10       3.945426263272e-16       1.414865586008e-13       0.000000000000e+00       4.206521506201e-10       3.183092651233e-11      -2.101132267562e-14 
   18       1.142857712646e-10       4.636897717882e-16       1.495008243847e-13       0.000000000000e+00       3.817235399469e-10       2.889856866412e-11      -1.071820066590e-14 
   19       1.160483298428e-10       5.539757756146e-16       1.580758238280e-13       0.000000000000e+00       3.480838045201e-10       2.632750292693e-11      -4.001596887671e-15 
   20       1.178564434393e-10       6.631708007663e-16       1.673984373882e-13       0.000000000000e+00       3.184537140492e-10       2.407468194578e-11      -2.121468833604e-15 
   21       1.197207031125e-10       7.905969878859e-16       1.773456041536e-13       0.000000000000e+00       2.923698536041e-10       2.212126793693e-11      -4.240508284242e-15 
   22       1.216450625643e-10       9.357620668961e-16       1.876050319673e-13       0.000000000000e+00       2.692056229145e-10       2.041830386245e-11      -8.412534052328e-15 
   23       1.236246495549e-10       1.098650254322e-15       1.978004275287e-13       0.000000000000e+00       2.486436784080e-10       1.891471601093e-11      -1.290820562683e-14 
   24       1.256335454297e-10       1.279253358744e-15       2.074890513429e-13       0.000000000000e+00       2.302111747386e-10       1.754082557216e-11      -1.600321394293e-14 
   25       1.276781801849e-10       1.477785100513e-15       2.163492455388e-13       0.000000000000e+00       2.136916902510e-10       1.628111232146e-11      -1.711001846687e-14 
   26       1.297614751090e-10       1.694782953494e-15       2.241221101028e-13       0.000000000000e+00       1.987861837731e-10       1.512875506768e-11      -1.616933153330e-14 
   27       1.318879925283e-10       1.932387870091e-15       2.307947451954e-13       0.000000000000e+00       1.853164646215e-10       1.409304866074e-11      -1.385234512440e-14 
   28       1.340531510550e-10       2.193222968254e-15       2.364550162127e-13       0.000000000000e+00       1.730511428233e-10       1.317820251823e-11      -1.114047685083e-14 
   29       1.362604936434e-10       2.478750952499e-15       2.411788210297e-13       0.000000000000e+00       1.619275956095e-10       1.237016779412e-11      -8.655187000628e-15 
   30       1.385035061301e-10       2.790056813361e-15       2.450699796796e-13       0.000000000000e+00       1.518261405664e-10       1.163679206082e-11      -7.007029395560e-15 
   31       1.407658562649e-10       3.128140167299e-15       2.482287105048e-13       0.000000000000e+00       1.425405263733e-10       1.094031505935e-11      -6.731610739422e-15 
   32       1.430513229367e-10       3.493808101549e-15       2.505786594030e-13       0.000000000000e+00       1.340228616445e-10       1.028312157559e-11      -7.543523682579e-15 
   33       1.453626170273e-10       3.887725271722e-15       2.519731625874e-13       0.000000000000e+00       1.262131083666e-10       9.678107641717e-12      -8.786302655140e-15 
   34       1.476961272874e-10       4.310517835086e-15       2.522541272247e-13       0.000000000000e+00       1.190021703207e-10       9.133882792579e-12      -9.764806281927e-15 
   35       1.500548545326e-10       4.763075483015e-15       2.513094365553e-13       0.000000000000e+00       1.123530739602e-10       8.645420470698e-12      -1.028220713588e-14 
   36       1.524383902402e-10       5.246348057919e-15       2.490338068449e-13       0.000000000000e+00       1.062123177195e-10       8.199324601603e-12      -1.028519756058e-14 
   37       1.548423905005e-10       5.761241112065e-15       2.453320952836e-13       0.000000000000e+00       1.004998170385e-10       7.780342530733e-12      -9.760319056997e-15 
   38       1.572713808616e-10       6.308537118800e-15       2.401847928184e-13       0.000000000000e+00       9.520076028291e-11       7.387127754263e-12      -8.861744411022e-15 
   39       1.597290940639e-10       6.888942789266e-15       2.336048469535e-13       0.000000000000e+00       9.029831834630e-11       7.021199729437e-12      -7.830063625851e-15 
   40       1.622143636083e-10       7.503105204825e-15       2.256213572813e-13       0.000000000000e+00       8.574570913283e-11       6.682531709649e-12      -6.962751981868e-15 
   41       1.647232008238e-10       8.151641686450e-15       2.162664364688e-13       0.000000000000e+00       8.148248233388e-11       6.369726282559e-12      -6.535001420702e-15 
   42       1.672571149932e-10       8.835250416197e-15       2.055283452079e-13       0.000000000000e+00       7.749602935912e-11       6.080972111575e-12      -6.522494166804e-15 
   43       1.698166084899e-10       9.554629301928e-15       1.933847142093e-13       0.000000000000e+00       7.377570000730e-11       5.813145604032e-12      -6.794491356426e-15 
   44       1.723984577926e-10       1.031044381123e-14       1.798153142555e-13       0.000000000000e+00       7.029434430353e-11       5.561386312035e-12      -7.186816667771e-15 
   45       1.749980857766e-10       1.110329586302e-14       1.647953956981e-13       0.000000000000e+00       6.701799339040e-11       5.320568966885e-12      -7.538965504594e-15 
   46       1.776183531375e-10       1.193362311711e-14       1.482733679979e-13       0.000000000000e+00       6.394144758382e-11       5.090545699580e-12      -7.823531176148e-15 
   47       1.802627969798e-10       1.280176690172e-14       1.301864215792e-13       0.000000000000e+00       6.106109428025e-11       4.872253524197e-12      -8.051957370213e-15 
   48       1.829329452119e-10       1.370799594740e-14       1.104662064481e-13       0.000000000000e+00       5.836417553207e-11       4.666215688391e-12      -8.238906996238e-15 
   49       1.856281217124e-10       1.465250311374e-14       8.903843438603e-14       0.000000000000e+00       5.582810819804e-11       4.472505942682e-12      -8.402452143573e-15 
   50       1.883466255878e-10       1.563542897978e-14       6.583590148478e-14       0.000000000000e+00       5.342727692515e-11       4.290833598637e-12      -8.560967997581e-15 
   51       1.910900983273e-10       1.665694775803e-14       4.084264586823e-14       0.000000000000e+00       5.115716409930e-11       4.120908817250e-12      -8.722379938072e-15 
   52       1.938600052798e-10       1.771719904278e-14       1.406108845382e-14       0.000000000000e+00       4.901559453532e-11       3.962114711244e-12      -8.892326041728e-15 
   53       1.966562380842e-10       1.881626102322e-14      -1.450011159715e-14       0.000000000000e+00       4.699551470203e-11       3.813365888558e-12      -9.077232046592e-15 
   54       1.994769844982e-10       1.995414847435e-14      -4.482582313949e-14       0.000000000000e+00       4.508466453529e-11       3.673078405824e-12      -9.284346202434e-15 
   55       2.023200147746e-10       2.113083610097e-14      -7.690068396625e-14       0.000000000000e+00       4.326931015173e-11       3.539600732030e-12      -9.518602410875e-15 
   56       2.051872132179e-10       2.234633996356e-14      -1.107301745931e-13       0.000000000000e+00       4.154727971643e-11       3.412700844599e-12      -9.772217265725e-15 
   57       2.080809443588e-10       2.360065276124e-14      -1.463243702403e-13       0.000000000000e+00       3.991759111948e-11       3.292395931055e-12      -1.003256973728e-14 
   58       2.110026616878e-10       2.489371925178e-14      -1.836919429619e-13       0.000000000000e+00       3.837650853272e-11       3.178511923681e-12      -1.028505966859e-14 
   59       2.139528326741e-10       2.622543523031e-14      -2.228401801653e-13       0.000000000000e+00       3.691737243981e-11       3.070671414433e-12      -1.051301905274e-14 
   60       2.169308637847e-10       2.759564650799e-14      -2.637750031305e-13       0.000000000000e+00       3.553042966613e-11       2.968281569849e-12      -1.069762331003e-14 
   61       2.199358340815e-10       2.900408681869e-14      -3.064994410254e-13       0.000000000000e+00       3.420553706478e-11       2.870707004713e-12      -1.082199374212e-14 
   62       2.229690580609e-10       3.045017756286e-14      -3.510086107953e-13       0.000000000000e+00       3.294136625995e-11       2.777861086999e-12      -1.088478166493e-14 
   63       2.260319676338e-10       3.193318109711e-14      -3.972936381909e-13       0.000000000000e+00       3.173797279502e-11       2.689726516489e-12      -1.088948981644e-14 
   64       2.291253059610e-10       3.345225493928e-14      -4.453430729575e-13       0.000000000000e+00       3.059402756301e-11       2.606175984543e-12      -1.084059362210e-14 
   65       2.322490781273e-10       3.500644880936e-14      -4.951428583488e-13       0.000000000000e+00       2.950673801555e-11       2.526965957613e-12      -1.074358545489e-14 
   66       2.354025018167e-10       3.659470167041e-14      -5.466763006408e-13       0.000000000000e+00       2.847176937179e-11       2.451730460750e-12      -1.060501889545e-14 
   67       2.385839579864e-10       3.821583876946e-14      -5.999240386447e-13       0.000000000000e+00       2.748316582733e-11       2.379974861121e-12      -1.043255299218e-14 
   68       2.417918259593e-10       3.986868263327e-14      -6.548646537051e-13       0.000000000000e+00       2.653493826973e-11       2.311201277180e-12      -1.023416199116e-14 
   69       2.450272954496e-10       4.155241878670e-14      -7.114767113672e-13       0.000000000000e+00       2.562637712640e-11       2.245328209920e-12      -1.001547964567e-14 
   70       2.482920383350e-10       4.326629916315e-14      -7.697370805388e-13       0.000000000000e+00       2.475767944211e-11       2.182345163068e-12      -9.781993832163e-15 
   71       2.515873484269e-10       4.500953466263e-14      -8.296203157568e-13       0.000000000000e+00       2.392834210168e-11       2.122185741683e-12      -9.539855974283e-15 
   72       2.549141147643e-10       4.678129510704e-14      -8.910986430817e-13       0.000000000000e+00       2.313712566054e-11       2.064724802053e-12      -9.295903959488e-15 
   73       2.582727949075e-10       4.858070919557e-14      -9.541419459918e-13       0.000000000000e+00       2.238201817532e-11       2.009775601590e-12      -9.057685055660e-15 
   74       2.616633882321e-10       5.040686446010e-14      -1.018717751277e-12       0.000000000000e+00       2.166019903440e-11       1.957086948729e-12      -8.833478827741e-15 
   75       2.650854092234e-10       5.225880722046e-14      -1.084791214934e-12       0.000000000000e+00       2.096800278854e-11       1.906340352823e-12      -8.632320054349e-15 
   76       2.685382922525e-10       5.413549304452e-14      -1.152325802893e-12       0.000000000000e+00       2.030182728524e-11       1.857230910007e-12      -8.461939067837e-15 
   77       2.720227501576e-10       5.603562779718e-14      -1.221285507694e-12       0.000000000000e+00       1.966112921173e-11       1.809733289613e-12      -8.322098504035e-15 
   78       2.755396160385e-10       5.795779739015e-14      -1.291633012281e-12       0.000000000000e+00       1.904591162907e-11       1.763879298946e-12      -8.210077466316e-15 
   79       2.790894161825e-10       5.990051366337e-14      -1.363329031174e-12       0.000000000000e+00       1.845581159460e-11       1.719677335594e-12      -8.122626839824e-15 
   80       2.826723522064e-10       6.186221332551e-14      -1.436332310606e-12       0.000000000000e+00       1.789008335623e-11       1.677111254398e-12      -8.055949503180e-15 
   81       2.862882831984e-10       6.384125689435e-14      -1.510599628667e-12       0.000000000000e+00       1.734758154673e-11       1.636139234420e-12      -8.005680540184e-15 
   82       2.899367078597e-10       6.583592763719e-14      -1.586085795449e-12       0.000000000000e+00       1.682674437800e-11       1.596692645916e-12      -7.966867451524e-15 
   83       2.936167466466e-10       6.784443051130e-14      -1.662743653185e-12       0.000000000000e+00       1.632557683542e-11       1.558674917305e-12      -7.933950366477e-15 
   84       2.973275154263e-10       6.986495496045e-14      -1.740524563748e-12       0.000000000000e+00       1.584213453182e-11       1.521986517147e-12      -7.901763288559e-15 
   85       3.010693567346e-10       7.189587758688e-14      -1.819379963685e-12       0.000000000000e+00       1.537610424486e-11       1.486607140419e-12      -7.868771891716e-15 
   86       3.048427808422e-10       7.393559129157e-14      -1.899260068433e-12       0.000000000000e+00       1.492745580513e-11       1.452525132976e-12      -7.834338696951e-15 
   87       3.086480812760e-10       7.598244441887e-14      -1.980113416099e-12       0.000000000000e+00       1.449595646530e-11       1.419711904052e-12      -7.797747172972e-15 
   88       3.124853235420e-10       7.803474077007e-14      -2.061886875787e-12       0.000000000000e+00       1.408116250894e-11       1.388121232135e-12      -7.758199108132e-15 
   89       3.163543338466e-10       8.009073961708e-14      -2.144525655938e-12       0.000000000000e+00       1.368241085920e-11       1.357688570846e-12      -7.714811982368e-15 
   90       3.202546878186e-10       8.214865571604e-14      -2.227973312658e-12       0.000000000000e+00       1.329881068759e-11       1.328330354818e-12      -7.666616339139e-15 
   91       3.241856992313e-10       8.420665932095e-14      -2.312171758054e-12       0.000000000000e+00       1.292923502269e-11       1.299943305574e-12      -7.612553157366e-15 
   92       3.281464087244e-10       8.626287619729e-14      -2.397061268566e-12       0.000000000000e+00       1.257231235889e-11       1.272403737406e-12      -7.551471223372e-15 
