# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.377226480061e-10       3.918796251641e-15       3.441173952651e-13       2.467350229617e-19       8.326926084293e-09       4.502074895885e-10      -1.785814755308e-12 
    3       1.304708688669e-10       4.841311549031e-15       3.805565764748e-13       4.935513802512e-19       5.083185970392e-09       3.184676956387e-10      -1.323294054376e-12 
    4       1.236032540372e-10       4.028752317404e-15       3.513415115973e-13       8.227652213873e-19       3.518219600243e-09       2.406374500126e-10      -8.396644975106e-13 
    5       1.184866844073e-10       2.584878403840e-15       2.957917907434e-13       1.234481796897e-18       2.617214079560e-09       1.897467586121e-10      -4.432375365840e-13 
    6       1.150056466230e-10       1.405994064230e-15       2.359070225954e-13       1.728829964135e-18       2.038620631616e-09       1.541557206008e-10      -1.611640421308e-13 
    7       1.127570303841e-10       7.665904019271e-16       1.841372973224e-13       2.305960460652e-18       1.640407686941e-09       1.280714593223e-10       9.456335349305e-15 
    8       1.114700269801e-10       5.144672587823e-16       1.455460278581e-13       2.966043907406e-18       1.352197221637e-09       1.083281720257e-10       8.782283858887e-14 
    9       1.109041194320e-10       4.183433610560e-16       1.207653189585e-13       3.709268580179e-18       1.135807306761e-09       9.305034610694e-11       1.005731897858e-13 
   10       1.108197803258e-10       3.527304850334e-16       1.080068530778e-13       4.535837991878e-18       9.688364521580e-10       8.097212356031e-11       7.534395092852e-14 
   11       1.111766866778e-10       2.978309304710e-16       1.043805988428e-13       5.445968331761e-18       8.293820219243e-10       7.195277447885e-11       3.643544062459e-14 
   12       1.118135894629e-10       2.682329350909e-16       1.068310110087e-13       6.439885810012e-18       7.245354350631e-10       6.359382399635e-11      -1.395665867040e-16 
   13       1.126861825529e-10       2.668277371178e-16       1.128247212088e-13       7.517823957462e-18       6.384770785214e-10       5.680805606474e-11      -2.443227582695e-14 
   14       1.137614176990e-10       2.836774687312e-16       1.205677842677e-13       8.680020930446e-18       5.668891705502e-10       5.092181155113e-11      -3.448819506751e-14 
   15       1.150157460970e-10       3.115149356539e-16       1.289640392009e-13       9.926716870008e-18       5.066450192052e-10       4.595942380449e-11      -3.244369927396e-14 
   16       1.163703664017e-10       3.520502263344e-16       1.375289887616e-13       1.125815136264e-17       4.554317052800e-10       4.167915937772e-11      -2.330732141241e-14 
   17       1.178623016622e-10       4.105094877329e-16       1.462427699949e-13       1.267456104676e-17       4.115059645145e-10       3.794538050824e-11      -1.245226736125e-14 
   18       1.194276338711e-10       4.891236222865e-16       1.552848983829e-13       1.417617736174e-17       3.733909983630e-10       3.470640640663e-11      -4.142367192587e-15 
   19       1.210790129020e-10       5.871918621398e-16       1.648000246420e-13       1.576322477830e-17       3.404679610764e-10       3.190909867007e-11       2.278187299790e-17 
   20       1.228115225903e-10       7.027522557990e-16       1.748633564664e-13       1.743591855977e-17       3.114787576168e-10       2.942377045282e-11      -3.851986960451e-16 
   21       1.246229669613e-10       8.358723042156e-16       1.853544616370e-13       1.919446407815e-17       2.859652573497e-10       2.720033493874e-11      -4.046611429310e-15 
