# Matter power spectrum P(k) at redshift z=0
# for k=1.05826e-05 to 21.1826 h/Mpc,
# number of wavenumbers equal to 561
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.058261180196e-05       4.656005095797e+01 
       2.363431463453e-05       1.011003155867e+02 
       3.673312263357e-05       1.547276660145e+02 
       4.991522204024e-05       2.080113792049e+02 
       6.321741330438e-05       2.612799004876e+02 
       7.667744794647e-05       3.147821337143e+02 
       9.033437646342e-05       3.687328770164e+02 
       1.042289120188e-04       4.233313076018e+02 
       1.184038146935e-04       4.787706549757e+02 
       1.329043011085e-04       5.352440016079e+02 
       1.477784842285e-04       5.929484818872e+02 
       1.630778480829e-04       6.520884011240e+02 
       1.788577619147e-04       7.128782261086e+02 
       1.951780378295e-04       7.755448819210e+02 
       2.121035352249e-04       8.403303728252e+02 
       2.297048140027e-04       9.074942118191e+02 
       2.480588365897e-04       9.773158439652e+02 
       2.672497158609e-04       1.050097133716e+03 
       2.873695018561e-04       1.126164836637e+03 
       3.085189943159e-04       1.205872908885e+03 
       3.308085600984e-04       1.289604911559e+03 
       3.543589240188e-04       1.377775919479e+03 
       3.793018881710e-04       1.470834046337e+03 
       4.057809181112e-04       1.569261474216e+03 
       4.339515145640e-04       1.673574050184e+03 
       4.639812673523e-04       1.784320088970e+03 
       4.960494659542e-04       1.902077092874e+03 
       5.303461218052e-04       2.027445940662e+03 
       5.670702464817e-04       2.161042997062e+03 
       6.064272344666e-04       2.303488042707e+03 
       6.486252280757e-04       2.455389664364e+03 
       6.938704040427e-04       2.617326000043e+03 
       7.423612220804e-04       2.789823220074e+03 
       7.942818143901e-04       2.973330761755e+03 
       8.497948593084e-04       3.168196027877e+03 
       9.090344459923e-04       3.374640021748e+03 
       9.720995622189e-04       3.592736195563e+03 
       1.039048882157e-03       3.822395318971e+03 
       1.109897463525e-03       4.063358189297e+03 
       1.184615777047e-03       4.315197400431e+03 
       1.263131212480e-03       4.577329836732e+03 
       1.345331891431e-03       4.849034918306e+03 
       1.431072337316e-03       5.129447916297e+03 
       1.520180366080e-03       5.417686719287e+03 
       1.612464497359e-03       5.712796584727e+03 
       1.707721239005e-03       6.013799396111e+03 
       1.805741735243e-03       6.319723365936e+03 
       1.906317445321e-03       6.629624496997e+03 
       2.009244694242e-03       6.942602803235e+03 
       2.114328081838e-03       7.257813788833e+03 
       2.221382838538e-03       7.574476494713e+03 
       2.330236275376e-03       7.891876424018e+03 
       2.440728499608e-03       8.209366918422e+03 
       2.552712565896e-03       8.526366480827e+03 
       2.666054216373e-03       8.842357499264e+03 
       2.780631338935e-03       9.156880900862e+03 
       2.896333247307e-03       9.469532192237e+03 
       3.013059862166e-03       9.779957122638e+03 
       3.130720851603e-03       1.008784592743e+04 
       3.249234771951e-03       1.039293010855e+04 
       3.368528236517e-03       1.069497690391e+04 
       3.488535129510e-03       1.099378674044e+04 
       3.609195874977e-03       1.128918801422e+04 
       3.730456765249e-03       1.158103471522e+04 
       3.852269349732e-03       1.186920375550e+04 
       3.974589882514e-03       1.215359370301e+04 
       4.097378825736e-03       1.243411804215e+04 
       4.220600404856e-03       1.271070802628e+04 
       4.344222211530e-03       1.298330749318e+04 
       4.468214849740e-03       1.325187338405e+04 
       4.592551620892e-03       1.351637127610e+04 
       4.717208243849e-03       1.377677912494e+04 
       4.842162606110e-03       1.403307692214e+04 
       4.967394542702e-03       1.428526012394e+04 
       5.092885639653e-03       1.453332973631e+04 
       5.218619059237e-03       1.477728170120e+04 
       5.344579384483e-03       1.501712515594e+04 
       5.470752480720e-03       1.525286672649e+04 
       5.597125372174e-03       1.548452893884e+04 
       5.723686131880e-03       1.571212855517e+04 
       5.850423783358e-03       1.593568288024e+04 
       5.977328212707e-03       1.615522429126e+04 
       6.104390089911e-03       1.637076872836e+04 
       6.231600798311e-03       1.658234935898e+04 
       6.358952371315e-03       1.678999761029e+04 
       6.486437435537e-03       1.699373510131e+04 
       6.614049159636e-03       1.719360591950e+04 
       6.741781208243e-03       1.738963556119e+04 
