# Matter power spectrum P(k) at redshift z=0
# for k=1.05826e-05 to 21.1826 h/Mpc,
# number of wavenumbers equal to 561
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.058261180196e-05       4.692294360266e+01 
       2.363431463453e-05       1.018868905770e+02 
       3.673312263357e-05       1.559277371978e+02 
       4.991522204024e-05       2.096175840712e+02 
       6.321741330438e-05       2.632858969897e+02 
       7.667744794647e-05       3.171820808195e+02 
       9.033437646342e-05       3.715211396215e+02 
       1.042289120188e-04       4.265024545917e+02 
       1.184038146935e-04       4.823194752122e+02 
       1.329043011085e-04       5.391656487135e+02 
       1.477784842285e-04       5.972385930708e+02 
       1.630778480829e-04       6.567433941164e+02 
       1.788577619147e-04       7.178954594370e+02 
       1.951780378295e-04       7.809231600708e+02 
       2.121035352249e-04       8.460703899530e+02 
       2.297048140027e-04       9.135991162304e+02 
       2.480588365897e-04       9.837919565772e+02 
       2.672497158609e-04       1.056954790672e+03 
       2.873695018561e-04       1.133419385559e+03 
       3.085189943159e-04       1.213545984620e+03 
       3.308085600984e-04       1.297725774288e+03 
       3.543589240188e-04       1.386383099258e+03 
       3.793018881710e-04       1.479977244040e+03 
       4.057809181112e-04       1.579003535823e+03 
       4.339515145640e-04       1.683993451874e+03 
       4.639812673523e-04       1.795513338194e+03 
       4.960494659542e-04       1.914161273024e+03 
       5.303461218052e-04       2.040561553203e+03 
       5.670702464817e-04       2.175356264039e+03 
       6.064272344666e-04       2.319193442113e+03 
       6.486252280757e-04       2.472711487088e+03 
       6.938704040427e-04       2.636519752775e+03 
       7.423612220804e-04       2.811175665087e+03 
       7.942818143901e-04       2.997159261690e+03 
       8.497948593084e-04       3.194846667385e+03 
       9.090344459923e-04       3.404484601366e+03 
       9.720995622189e-04       3.626168408061e+03 
       1.039048882157e-03       3.859826157532e+03 
       1.109897463525e-03       4.105210969474e+03 
       1.184615777047e-03       4.361902876441e+03 
       1.263131212480e-03       4.629320388356e+03 
       1.345331891431e-03       4.906740689942e+03 
       1.431072337316e-03       5.193326368292e+03 
       1.520180366080e-03       5.488155944353e+03 
       1.612464497359e-03       5.790255359869e+03 
       1.707721239005e-03       6.098627901098e+03 
       1.805741735243e-03       6.412280672757e+03 
       1.906317445321e-03       6.730246485268e+03 
       2.009244694242e-03       7.051600725097e+03 
       2.114328081838e-03       7.375473339366e+03 
       2.221382838538e-03       7.701056442521e+03 
       2.330236275376e-03       8.027608253383e+03 
       2.440728499608e-03       8.354454131458e+03 
       2.552712565896e-03       8.680985446450e+03 
       2.666054216373e-03       9.006656925409e+03 
       2.780631338935e-03       9.330983009314e+03 
       2.896333247307e-03       9.653533636431e+03 
       3.013059862166e-03       9.973929765487e+03 
       3.130720851603e-03       1.029183886346e+04 
       3.249234771951e-03       1.060697051173e+04 
       3.368528236517e-03       1.091907222962e+04 
       3.488535129510e-03       1.122792557342e+04 
       3.609195874977e-03       1.153334253994e+04 
       3.730456765249e-03       1.183516228273e+04 
       3.852269349732e-03       1.213324813609e+04 
       3.974589882514e-03       1.242748493268e+04 
       4.097378825736e-03       1.271777659600e+04 
       4.220600404856e-03       1.300404398624e+04 
       4.344222211530e-03       1.328622297708e+04 
       4.468214849740e-03       1.356426274145e+04 
       4.592551620892e-03       1.383812422507e+04 
       4.717208243849e-03       1.410777878817e+04 
       4.842162606110e-03       1.437320699704e+04 
       4.967394542702e-03       1.463439754910e+04 
       5.092885639653e-03       1.489134631640e+04 
       5.218619059237e-03       1.514405549436e+04 
       5.344579384483e-03       1.539253284373e+04 
       5.470752480720e-03       1.563679101527e+04 
       5.597125372174e-03       1.587684694775e+04 
       5.723686131880e-03       1.611272133100e+04 
       5.850423783358e-03       1.634443812661e+04 
       5.977328212707e-03       1.657202414001e+04 
       6.104390089911e-03       1.679550863794e+04 
       6.231600798311e-03       1.701492300656e+04 
       6.358952371315e-03       1.723030044560e+04 
       6.486437435537e-03       1.744167569466e+04 
       6.614049159636e-03       1.764908478823e+04 
       6.741781208243e-03       1.785256483640e+04 
       6.869627700396e-03       1.805215382843e+04 
       6.997583172017e-03       1.824789045693e+04 
       7.125642541972e-03       1.843981396051e+04 
       7.253801081359e-03       1.862796398290e+04 
       7.382054385658e-03       1.881238044703e+04 
       7.510398349466e-03       1.899310344252e+04 
       7.638829143537e-03       1.917017312520e+04 
       7.767343193899e-03       1.934362962763e+04 
       7.895937162834e-03       1.951351297942e+04 
       8.024607931537e-03       1.967986303656e+04 
       8.153352584294e-03       1.984271941883e+04 
       8.282168394012e-03       2.000212145454e+04 
       8.411052809001e-03       2.015810813202e+04 
       8.540003440858e-03       2.031071805721e+04 
       8.669018053363e-03       2.045998941674e+04 
       8.798094552302e-03       2.060595994618e+04 
       8.927230976109e-03       2.074866690289e+04 
       9.056425487273e-03       2.088814704312e+04 
       9.185676364425e-03       2.102443660305e+04 
       9.314981995059e-03       2.115757128335e+04 
       9.444340868822e-03       2.128758623713e+04 
       9.573751571319e-03       2.141451606080e+04 
       9.703212778403e-03       2.153839478785e+04 
       9.832723250899e-03       2.165925588513e+04 
       9.962281829721e-03       2.177713225152e+04 
       1.009188743136e-02       2.189205621882e+04 
       1.022153904372e-02       2.200405955468e+04 
       1.035123572221e-02       2.211317346738e+04 
       1.048097658621e-02       2.221942861236e+04 
       1.061076081572e-02       2.232285510039e+04 
       1.074058764826e-02       2.242348250716e+04 
       1.087045637605e-02       2.252133988434e+04 
       1.100036634331e-02       2.261645577181e+04 
       1.113031694381e-02       2.270885821112e+04 
       1.126030761857e-02       2.279857476000e+04 
       1.139033785375e-02       2.288563250786e+04 
       1.152040717862e-02       2.297005809218e+04 
       1.165051516378e-02       2.305187771574e+04 
       1.178066141939e-02       2.313111716451e+04 
       1.191084559360e-02       2.320780182634e+04 
       1.204106737108e-02       2.328195671007e+04 
       1.217132647160e-02       2.335360646529e+04 
       1.230162264882e-02       2.342277540248e+04 
       1.243195568902e-02       2.348948751352e+04 
       1.256232541005e-02       2.355376649253e+04 
       1.269273166027e-02       2.361563575696e+04 
       1.282317431762e-02       2.367511846881e+04 
       1.295365328872e-02       2.373223755602e+04 
       1.308416850806e-02       2.378701573388e+04 
       1.321471993723e-02       2.383947552638e+04 
       1.334530756425e-02       2.388963928758e+04 
       1.347593140287e-02       2.393752922278e+04 
       1.360659149203e-02       2.398316740946e+04 
       1.373728789528e-02       2.402657581805e+04 
       1.386802070028e-02       2.406777633230e+04 
       1.399879001836e-02       2.410679076932e+04 
       1.412959598405e-02       2.414364089919e+04 
       1.426043875479e-02       2.417834846405e+04 
       1.439131851047e-02       2.421093519669e+04 
       1.452223545322e-02       2.424142283851e+04 
       1.465318980709e-02       2.426983315689e+04 
       1.478418181780e-02       2.429618796181e+04 
       1.491521175252e-02       2.432050912178e+04 
       1.504627989973e-02       2.434281857895e+04 
       1.517738656900e-02       2.436313836344e+04 
       1.530853209090e-02       2.438149060679e+04 
       1.543971681688e-02       2.439789755449e+04 
       1.557094111917e-02       2.441238157761e+04 
       1.570220539075e-02       2.442496518344e+04 
       1.583351004531e-02       2.443567102518e+04 
       1.596485551719e-02       2.444452191059e+04 
       1.609624226147e-02       2.445154080959e+04 
       1.622767075391e-02       2.445675086084e+04 
       1.635914149107e-02       2.446017537723e+04 
       1.649065499033e-02       2.446183785033e+04 
       1.662221178998e-02       2.446176195373e+04 
       1.675381244937e-02       2.445997154529e+04 
       1.688545754897e-02       2.445649066833e+04 
       1.701714769057e-02       2.445134355174e+04 
       1.714888349741e-02       2.444455460900e+04 
       1.728066561433e-02       2.443614843619e+04 
       1.741249470803e-02       2.442614980892e+04 
       1.754437146724e-02       2.441458367823e+04 
       1.767629660295e-02       2.440147516557e+04 
       1.780827084865e-02       2.438684955673e+04 
       1.794029496063e-02       2.437073229485e+04 
       1.807236971820e-02       2.435314897258e+04 
       1.820449592406e-02       2.433412532330e+04 
       1.833667440453e-02       2.431368721155e+04 
       1.846890600993e-02       2.429186062266e+04 
       1.860119161494e-02       2.426867165163e+04 
       1.873353211890e-02       2.424414649134e+04 
       1.886592844626e-02       2.421831142008e+04 
       1.899838154692e-02       2.419119278846e+04 
       1.913089239668e-02       2.416281700586e+04 
       1.926346199766e-02       2.413321052624e+04 
       1.939609137875e-02       2.410239983366e+04 
       1.952878159607e-02       2.407041142729e+04 
       1.966153373344e-02       2.403727180612e+04 
       1.979434890295e-02       2.400300745343e+04 
       1.992722824539e-02       2.396764482097e+04 
       2.006017293084e-02       2.393121031299e+04 
       2.019318415925e-02       2.389373027015e+04 
       2.032626316097e-02       2.385523095337e+04 
       2.045941119738e-02       2.381573852765e+04 
       2.059262956150e-02       2.377527904591e+04 
       2.072591957864e-02       2.373387843295e+04 
       2.085928260704e-02       2.369156246950e+04 
       2.099272003858e-02       2.364835677646e+04 
       2.112623329948e-02       2.360428679939e+04 
       2.125982385102e-02       2.355937779320e+04 
       2.139349319030e-02       2.351365480718e+04 
       2.152724285099e-02       2.346714267037e+04 
       2.166107440419e-02       2.341986597729e+04 
       2.179498945920e-02       2.337184907407e+04 
       2.192898966440e-02       2.332311604504e+04 
       2.206307670813e-02       2.327369069974e+04 
