# Matter power spectrum P(k) at redshift z=0
# for k=1.05826e-05 to 21.1826 h/Mpc,
# number of wavenumbers equal to 561
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.058261180196e-05       4.655971485276e+01 
       2.363431463453e-05       1.010995928837e+02 
       3.673312263357e-05       1.547265792412e+02 
       4.991522204024e-05       2.080099556088e+02 
       6.321741330438e-05       2.612781742612e+02 
       7.667744794647e-05       3.147801473386e+02 
       9.033437646342e-05       3.687306825728e+02 
       1.042289120188e-04       4.233289682815e+02 
       1.184038146935e-04       4.787682468968e+02 
       1.329043011085e-04       5.352416160343e+02 
       1.477784842285e-04       5.929462279455e+02 
       1.630778480829e-04       6.520864091308e+02 
       1.788577619147e-04       7.128766516478e+02 
       1.951780378295e-04       7.755439108418e+02 
       2.121035352249e-04       8.403302273738e+02 
       2.297048140027e-04       9.074951581690e+02 
       2.480588365897e-04       9.773182014789e+02 
       2.672497158609e-04       1.050101286349e+03 
       2.873695018561e-04       1.126171246996e+03 
       3.085189943159e-04       1.205882135577e+03 
       3.308085600984e-04       1.289617630606e+03 
       3.543589240188e-04       1.377792950767e+03 
       3.793018881710e-04       1.470856386241e+03 
       4.057809181112e-04       1.569290335803e+03 
       4.339515145640e-04       1.673610912609e+03 
       4.639812673523e-04       1.784366757962e+03 
       4.960494659542e-04       1.902135774381e+03 
       5.303461218052e-04       2.027519329888e+03 
       5.670702464817e-04       2.161134385098e+03 
       6.064272344666e-04       2.303601442722e+03 
       6.486252280757e-04       2.455529958663e+03 
       6.938704040427e-04       2.617499108268e+03 
       7.423612220804e-04       2.790036287086e+03 
       7.942818143901e-04       2.973592361481e+03 
       8.497948593084e-04       3.168516376531e+03 
       9.090344459923e-04       3.375031190667e+03 
       9.720995622189e-04       3.593212310861e+03 
       1.039048882157e-03       3.822972732753e+03 
       1.109897463525e-03       4.064055606179e+03 
       1.184615777047e-03       4.316035943775e+03 
       1.263131212480e-03       4.578333042119e+03 
       1.345331891431e-03       4.850228646168e+03 
       1.431072337316e-03       5.130860160451e+03 
       1.520180366080e-03       5.419347398697e+03 
       1.612464497359e-03       5.714737217424e+03 
       1.707721239005e-03       6.016052736203e+03 
       1.805741735243e-03       6.322323014481e+03 
       1.906317445321e-03       6.632604505664e+03 
       2.009244694242e-03       6.945997290875e+03 
       2.114328081838e-03       7.261656588957e+03 
       2.221382838538e-03       7.578800848572e+03 
       2.330236275376e-03       7.896714728143e+03 
       2.440728499608e-03       8.214750532480e+03 
       2.552712565896e-03       8.532325595417e+03 
       2.666054216373e-03       8.848921061652e+03 
       2.780631338935e-03       9.164076590950e+03 
       2.896333247307e-03       9.477386440720e+03 
       3.013059862166e-03       9.788495161605e+03 
       3.130720851603e-03       1.009709186175e+04 
       3.249234771951e-03       1.040290700020e+04 
       3.368528236517e-03       1.070570586121e+04 
       3.488535129510e-03       1.100528870451e+04 
       3.609195874977e-03       1.130148287476e+04 
       3.730456765249e-03       1.159414092552e+04 
       3.852269349732e-03       1.188313838738e+04 
       3.974589882514e-03       1.216837251173e+04 
       4.097378825736e-03       1.244975552897e+04 
       4.220600404856e-03       1.272721750584e+04 
       4.344222211530e-03       1.300070115685e+04 
       4.468214849740e-03       1.327016236345e+04 
       4.592551620892e-03       1.353556570263e+04 
       4.717208243849e-03       1.379688819673e+04 
       4.842162606110e-03       1.405410895879e+04 
       4.967394542702e-03       1.430722264570e+04 
       5.092885639653e-03       1.455622953071e+04 
       5.218619059237e-03       1.480112486739e+04 
       5.344579384483e-03       1.504191721885e+04 
       5.470752480720e-03       1.527861266872e+04 
       5.597125372174e-03       1.551123329705e+04 
       5.723686131880e-03       1.573979547288e+04 
       5.850423783358e-03       1.596431616275e+04 
       5.977328212707e-03       1.618482748223e+04 
       6.104390089911e-03       1.640134512008e+04 
       6.231600798311e-03       1.661390205470e+04 
       6.358952371315e-03       1.682252954370e+04 
       6.486437435537e-03       1.702724902978e+04 
       6.614049159636e-03       1.722810447184e+04 
       6.741781208243e-03       1.742512119726e+04 
       6.869627700396e-03       1.761833345439e+04 
       6.997583172017e-03       1.780777537440e+04 
       7.125642541972e-03       1.799348965411e+04 
       7.253801081359e-03       1.817550278304e+04 
       7.382054385658e-03       1.835385102176e+04 
       7.510398349466e-03       1.852857527847e+04 
       7.638829143537e-03       1.869970922319e+04 
       7.767343193899e-03       1.886729455955e+04 
       7.895937162834e-03       1.903135695146e+04 
       8.024607931537e-03       1.919194912289e+04 
       8.153352584294e-03       1.934909619045e+04 
       8.282168394012e-03       1.950283862654e+04 
       8.411052809001e-03       1.965321172504e+04 
       8.540003440858e-03       1.980026116522e+04 
       8.669018053363e-03       1.994401776602e+04 
       8.798094552302e-03       2.008451606495e+04 
       8.927230976109e-03       2.022179684425e+04 
       9.056425487273e-03       2.035589084117e+04 
       9.185676364425e-03       2.048684043727e+04 
       9.314981995059e-03       2.061467886404e+04 
       9.444340868822e-03       2.073943578954e+04 
       9.573751571319e-03       2.086115421656e+04 
       9.703212778403e-03       2.097986610666e+04 
       9.832723250899e-03       2.109559998062e+04 
       9.962281829721e-03       2.120839319734e+04 
       1.009188743136e-02       2.131828501425e+04 
       1.022153904372e-02       2.142529852661e+04 
       1.035123572221e-02       2.152947845931e+04 
       1.048097658621e-02       2.163084844674e+04 
       1.061076081572e-02       2.172944290044e+04 
       1.074058764826e-02       2.182529539232e+04 
       1.087045637605e-02       2.191843422394e+04 
       1.100036634331e-02       2.200889790527e+04 
       1.113031694381e-02       2.209670809621e+04 
       1.126030761857e-02       2.218190194345e+04 
       1.139033785375e-02       2.226451722484e+04 
       1.152040717862e-02       2.234456348076e+04 
       1.165051516378e-02       2.242208627614e+04 
       1.178066141939e-02       2.249711967505e+04 
       1.191084559360e-02       2.256968276659e+04 
       1.204106737108e-02       2.263980639013e+04 
       1.217132647160e-02       2.270752949770e+04 
       1.230162264882e-02       2.277286268538e+04 
       1.243195568902e-02       2.283585426180e+04 
       1.256232541005e-02       2.289652517952e+04 
       1.269273166027e-02       2.295491179742e+04 
       1.282317431762e-02       2.301103347641e+04 
       1.295365328872e-02       2.306492480063e+04 
       1.308416850806e-02       2.311660550450e+04 
       1.321471993723e-02       2.316609930630e+04 
       1.334530756425e-02       2.321345553859e+04 
       1.347593140287e-02       2.325867049313e+04 
       1.360659149203e-02       2.330179050499e+04 
       1.373728789528e-02       2.334283118446e+04 
       1.386802070028e-02       2.338183870211e+04 
       1.399879001836e-02       2.341881927159e+04 
       1.412959598405e-02       2.345380208324e+04 
       1.426043875479e-02       2.348681197382e+04 
       1.439131851047e-02       2.351788218360e+04 
       1.452223545322e-02       2.354702569803e+04 
       1.465318980709e-02       2.357428263481e+04 
       1.478418181780e-02       2.359966266181e+04 
       1.491521175252e-02       2.362319562195e+04 
       1.504627989973e-02       2.364490482752e+04 
       1.517738656900e-02       2.366481821796e+04 
       1.530853209090e-02       2.368294766139e+04 
       1.543971681688e-02       2.369932532789e+04 
       1.557094111917e-02       2.371397325185e+04 
       1.570220539075e-02       2.372692008748e+04 
       1.583351004531e-02       2.373817447138e+04 
       1.596485551719e-02       2.374776907060e+04 
       1.609624226147e-02       2.375572197144e+04 
       1.622767075391e-02       2.376205387996e+04 
       1.635914149107e-02       2.376679889664e+04 
       1.649065499033e-02       2.376995267680e+04 
       1.662221178998e-02       2.377155872997e+04 
       1.675381244937e-02       2.377162504926e+04 
       1.688545754897e-02       2.377019771367e+04 
       1.701714769057e-02       2.376727346741e+04 
       1.714888349741e-02       2.376287472083e+04 
       1.728066561433e-02       2.375703853936e+04 
       1.741249470803e-02       2.374976509857e+04 
       1.754437146724e-02       2.374109171424e+04 
       1.767629660295e-02       2.373101360914e+04 
       1.780827084865e-02       2.371957595699e+04 
       1.794029496063e-02       2.370679215501e+04 
       1.807236971820e-02       2.369267362979e+04 
       1.820449592406e-02       2.367725173898e+04 
       1.833667440453e-02       2.366053380631e+04 
       1.846890600993e-02       2.364255508293e+04 
       1.860119161494e-02       2.362330225483e+04 
       1.873353211890e-02       2.360284143506e+04 
       1.886592844626e-02       2.358116030822e+04 
       1.899838154692e-02       2.355828906860e+04 
       1.913089239668e-02       2.353422950323e+04 
       1.926346199766e-02       2.350901574438e+04 
       1.939609137875e-02       2.348263915906e+04 
       1.952878159607e-02       2.345516911142e+04 
       1.966153373344e-02       2.342657180163e+04 
       1.979434890295e-02       2.339689097912e+04 
       1.992722824539e-02       2.336616015957e+04 
       2.006017293084e-02       2.333434994252e+04 
       2.019318415925e-02       2.330150082217e+04 
       2.032626316097e-02       2.326767219857e+04 
       2.045941119738e-02       2.323281287017e+04 
       2.059262956150e-02       2.319698586330e+04 
       2.072591957864e-02       2.316017470170e+04 
       2.085928260704e-02       2.312241162865e+04 
       2.099272003858e-02       2.308373896977e+04 
       2.112623329948e-02       2.304413752033e+04 
       2.125982385102e-02       2.300363885008e+04 
       2.139349319030e-02       2.296224622512e+04 
       2.152724285099e-02       2.292000233316e+04 
       2.166107440419e-02       2.287686174321e+04 
       2.179498945920e-02       2.283294175994e+04 
       2.192898966440e-02       2.278819706193e+04 
       2.206307670813e-02       2.274262384430e+04 
       2.219725231958e-02       2.269626481931e+04 
       2.233151826975e-02       2.264912486967e+04 
       2.246587637239e-02       2.260124026935e+04 
       2.260032848502e-02       2.255260738836e+04 
       2.273487650993e-02       2.250326894485e+04 
       2.286952239528e-02       2.245319685654e+04 
       2.300426813611e-02       2.240243036650e+04 
       2.313911577558e-02       2.235096755206e+04 
       2.327406740603e-02       2.229884359464e+04 
       2.340912517023e-02       2.224603031343e+04 
       2.354429126259e-02       2.219259620760e+04 
       2.367956793045e-02       2.213850261694e+04 
       2.381495747539e-02       2.208377527406e+04 
       2.395046225457e-02       2.202858691407e+04 
       2.408608468215e-02       2.197273886300e+04 
       2.422182723071e-02       2.191631964413e+04 
       2.435769243276e-02       2.185932082867e+04 
       2.449368288227e-02       2.180168252940e+04 
       2.462980123622e-02       2.174352955009e+04 
       2.476605021628e-02       2.168506891612e+04 
       2.490243261050e-02       2.162578486963e+04 
       2.503895127503e-02       2.156613299118e+04 
       2.517560913590e-02       2.150630464326e+04 
       2.531240919095e-02       2.144568206924e+04 
       2.544935451167e-02       2.138467894316e+04 
       2.558644824527e-02       2.132336242525e+04 
       2.572369361664e-02       2.126115041036e+04 
       2.586109393055e-02       2.119880832691e+04 
       2.599865257378e-02       2.113613541724e+04 
       2.613637301742e-02       2.107294239018e+04 
       2.627425881922e-02       2.100940032621e+04 
       2.641231362598e-02       2.094560502206e+04 
       2.655054117606e-02       2.088107714708e+04 
       2.668894530201e-02       2.081662403295e+04 
       2.682752993323e-02       2.075156692214e+04 
       2.696629909873e-02       2.068606804290e+04 
       2.710525693003e-02       2.062039759531e+04 
       2.724440766412e-02       2.055460878994e+04 
       2.738375564659e-02       2.048829419992e+04 
       2.752330533475e-02       2.042148322702e+04 
       2.766306130101e-02       2.035476998329e+04 
       2.780302823627e-02       2.028765697186e+04 
       2.794321095351e-02       2.022002479921e+04 
       2.808361439146e-02       2.015240453820e+04 
       2.822424361844e-02       2.008467476599e+04 
       2.836510383631e-02       2.001633862392e+04 
       2.850620038463e-02       1.994785539525e+04 
       2.864753874491e-02       1.987935133284e+04 
       2.878912454508e-02       1.981049856111e+04 
       2.893096356407e-02       1.974140709532e+04 
       2.907306173665e-02       1.967203741417e+04 
       2.921542515838e-02       1.960284968777e+04 
       2.935806009081e-02       1.953311809722e+04 
       2.950097296687e-02       1.946325516626e+04 
       2.964417039648e-02       1.939323833418e+04 
       2.978765917237e-02       1.932324748997e+04 
       2.993144627617e-02       1.925281718460e+04 
       3.007553888471e-02       1.918249395265e+04 
       3.021994437664e-02       1.911202644858e+04 
       3.036467033925e-02       1.904129617272e+04 
       3.050972457568e-02       1.897044000285e+04 
       3.065511511232e-02       1.889963260503e+04 
       3.080085020661e-02       1.882857174520e+04 
       3.094693835517e-02       1.875749393789e+04 
       3.109338830227e-02       1.868636952319e+04 
       3.124020904864e-02       1.861522105082e+04 
       3.138740986075e-02       1.854361888606e+04 
       3.153500028045e-02       1.847229790777e+04 
       3.168299013504e-02       1.840070605414e+04 
       3.183138954786e-02       1.832914120261e+04 
       3.198020894932e-02       1.825748486077e+04 
       3.212945908844e-02       1.818586533218e+04 
       3.227915104496e-02       1.811425189686e+04 
       3.242929624201e-02       1.804229202541e+04 
       3.257990645941e-02       1.797056927709e+04 
       3.273099384757e-02       1.789876604045e+04 
       3.288257094211e-02       1.782674806295e+04 
       3.303465067917e-02       1.775491349109e+04 
       3.318724641153e-02       1.768277316980e+04 
       3.334037192550e-02       1.761083603096e+04 
       3.349404145863e-02       1.753919714630e+04 
       3.364826971849e-02       1.746724906945e+04 
       3.380307190218e-02       1.739524349501e+04 
       3.395846371712e-02       1.732321583255e+04 
       3.411446140275e-02       1.725111792965e+04 
       3.427108175347e-02       1.717942520071e+04 
       3.442834214282e-02       1.710753483263e+04 
       3.458626054901e-02       1.703556121850e+04 
       3.474485558176e-02       1.696369754879e+04 
       3.490414651075e-02       1.689160374427e+04 
       3.506415329566e-02       1.682001181201e+04 
       3.522489661784e-02       1.674813464500e+04 
       3.538639791394e-02       1.667622653763e+04 
       3.554867941139e-02       1.660456196536e+04 
       3.571176416607e-02       1.653288388292e+04 
       3.587567610217e-02       1.646114214060e+04 
       3.604044005449e-02       1.638940691833e+04 
       3.620608181334e-02       1.631781746919e+04 
       3.637262817222e-02       1.624618271185e+04 
       3.654010697846e-02       1.617463783201e+04 
       3.670854718715e-02       1.610311722623e+04 
       3.687797891842e-02       1.603156923086e+04 
       3.704843351862e-02       1.596019632844e+04 
       3.721994362539e-02       1.588861974238e+04 
       3.739254323712e-02       1.581747826508e+04 
       3.756626778718e-02       1.574593851505e+04 
       3.774115422314e-02       1.567477767724e+04 
       3.791724109156e-02       1.560338463781e+04 
       3.809456862879e-02       1.553243876541e+04 
       3.827317885811e-02       1.546123479000e+04 
       3.845311569413e-02       1.539012574886e+04 
       3.863442505463e-02       1.531892041405e+04 
       3.881715498090e-02       1.524786914586e+04 
       3.900135576708e-02       1.517688409784e+04 
       3.918708009950e-02       1.510584235286e+04 
       3.937438320676e-02       1.503485779123e+04 
       3.956332302176e-02       1.496380117818e+04 
       3.975396035668e-02       1.489308547334e+04 
       3.994635909223e-02       1.482210258491e+04 
       4.014058638256e-02       1.475118057842e+04 
       4.033671287736e-02       1.468032670208e+04 
       4.053481296297e-02       1.460937873990e+04 
       4.073496502438e-02       1.453854024123e+04 
       4.093725173042e-02       1.446763823640e+04 
       4.114176034447e-02       1.439678897809e+04 
       4.134858306356e-02       1.432576634679e+04 
       4.155781738899e-02       1.425486786711e+04 
       4.176956653196e-02       1.418390698075e+04 
       4.198393985825e-02       1.411292957251e+04 
       4.220105337644e-02       1.404193665491e+04 
       4.242103027489e-02       1.397085033480e+04 
       4.264400151333e-02       1.389972438818e+04 
       4.287010647577e-02       1.382848731394e+04 
       4.309949369239e-02       1.375724134950e+04 
       4.333232163924e-02       1.368589310349e+04 
       4.356875962590e-02       1.361432497473e+04 
       4.380898878278e-02       1.354254597027e+04 
       4.405320316146e-02       1.347098658119e+04 
       4.430161096392e-02       1.339913100158e+04 
       4.455443591867e-02       1.332722227131e+04 
       4.481191882511e-02       1.325492298597e+04 
       4.507431929087e-02       1.318257306136e+04 
       4.534191769131e-02       1.310980253457e+04 
       4.561501738540e-02       1.303730860134e+04 
       4.589394722835e-02       1.296404652547e+04 
       4.617906442912e-02       1.289087316876e+04 
       4.647075780967e-02       1.281722596011e+04 
       4.676945153402e-02       1.274334147999e+04 
       4.707560938865e-02       1.266885197967e+04 
       4.738973971239e-02       1.259431338703e+04 
       4.771240109399e-02       1.251936672046e+04 
       4.804420898123e-02       1.244383174190e+04 
       4.838584337619e-02       1.236779915828e+04 
       4.873805783065e-02       1.229110925257e+04 
       4.910169000422e-02       1.221395647668e+04 
       4.947767410912e-02       1.213612606492e+04 
       4.986705564307e-02       1.205750520174e+04 
       5.027100890973e-02       1.197834188958e+04 
       5.069085795060e-02       1.189795106183e+04 
       5.112810167079e-02       1.181695195699e+04 
       5.158444414344e-02       1.173470727898e+04 
       5.206183133451e-02       1.165131346433e+04 
       5.256249581769e-02       1.156661875850e+04 
       5.308901146215e-02       1.148025326350e+04 
       5.364436059291e-02       1.139240992720e+04 
       5.423201675509e-02       1.130254359050e+04 
       5.485604695854e-02       1.121041846812e+04 
       5.552123809793e-02       1.111580159459e+04 
       5.623325301396e-02       1.101810866386e+04 
       5.699882209022e-02       1.091685473220e+04 
       5.782597572877e-02       1.081128702314e+04 
       5.872432021605e-02       1.070068589389e+04 
       5.970535186659e-02       1.058373077215e+04 
       6.078278733210e-02       1.045871277903e+04 
       6.197285391602e-02       1.032369387278e+04 
       6.329442167047e-02       1.017585006953e+04 
       6.476875867930e-02       1.001138636048e+04 
       6.641855901619e-02       9.825458578346e+03 
       6.826579461548e-02       9.612072432066e+03 
       7.032806334432e-02       9.364158333709e+03 
       7.261374203428e-02       9.075734794405e+03 
       7.511749158628e-02       8.741761738122e+03 
       7.781871042584e-02       8.362518879808e+03 
       8.068477330211e-02       7.944392656994e+03 
       8.367798366692e-02       7.499814052720e+03 
       8.676272126168e-02       7.045306639270e+03 
       8.990983471932e-02       6.598727511109e+03 
       9.309778928524e-02       6.176566420678e+03 
       9.631175980455e-02       5.791577985644e+03 
       9.954200676961e-02       5.451900373125e+03 
       1.027823216668e-01       5.161145365520e+03 
       1.060288212453e-01       4.918862030242e+03 
       1.092791050340e-01       4.720818927126e+03 
       1.125316997741e-01       4.560398241641e+03 
       1.157857051540e-01       4.429232883980e+03 
       1.190405723570e-01       4.318084478781e+03 
       1.222959672682e-01       4.217735047518e+03 
       1.255516865778e-01       4.119709989546e+03 
       1.288076065494e-01       4.017098933230e+03 
