# Matter power spectrum P(k) at redshift z=0
# for k=1.05826e-05 to 21.1826 h/Mpc,
# number of wavenumbers equal to 561
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.058261180196e-05       4.655971485478e+01 
       2.363431463453e-05       1.010995929084e+02 
       3.673312263357e-05       1.547265793381e+02 
       4.991522204024e-05       2.080099558571e+02 
       6.321741330438e-05       2.612781747712e+02 
       7.667744794647e-05       3.147801482525e+02 
       9.033437646342e-05       3.687306840670e+02 
       1.042289120188e-04       4.233289705686e+02 
       1.184038146935e-04       4.787682502291e+02 
       1.329043011085e-04       5.352416207072e+02 
       1.477784842285e-04       5.929462343019e+02 
       1.630778480829e-04       6.520864175671e+02 
       1.788577619147e-04       7.128766626191e+02 
       1.951780378295e-04       7.755439248694e+02 
       2.121035352249e-04       8.403302450526e+02 
       2.297048140027e-04       9.074951801755e+02 
       2.480588365897e-04       9.773182285799e+02 
       2.672497158609e-04       1.050101319410e+03 
       2.873695018561e-04       1.126171286989e+03 
       3.085189943159e-04       1.205882183584e+03 
       3.308085600984e-04       1.289617687825e+03 
       3.543589240188e-04       1.377793018502e+03 
       3.793018881710e-04       1.470856465890e+03 
       4.057809181112e-04       1.569290428821e+03 
       4.339515145640e-04       1.673611020458e+03 
       4.639812673523e-04       1.784366882007e+03 
       4.960494659542e-04       1.902135915746e+03 
       5.303461218052e-04       2.027519489221e+03 
       5.670702464817e-04       2.161134562234e+03 
       6.064272344666e-04       2.303601636182e+03 
       6.486252280757e-04       2.455530164951e+03 
       6.938704040427e-04       2.617499320873e+03 
       7.423612220804e-04       2.790036495129e+03 
       7.942818143901e-04       2.973592547876e+03 
       8.497948593084e-04       3.168516515576e+03 
       9.090344459923e-04       3.375031244928e+03 
       9.720995622189e-04       3.593212227249e+03 
       1.039048882157e-03       3.822972437694e+03 
       1.109897463525e-03       4.064054999819e+03 
       1.184615777047e-03       4.316034893193e+03 
       1.263131212480e-03       4.578331373582e+03 
       1.345331891431e-03       4.850226136498e+03 
       1.431072337316e-03       5.130856527713e+03 
       1.520180366080e-03       5.419342292078e+03 
       1.612464497359e-03       5.714730206825e+03 
       1.707721239005e-03       6.016043301545e+03 
       1.805741735243e-03       6.322310534914e+03 
