# Matter power spectrum P(k) at redshift z=0
# for k=1.05826e-05 to 21.1826 h/Mpc,
# number of wavenumbers equal to 561
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.058261180196e-05       4.656005095999e+01 
       2.363431463453e-05       1.011003156114e+02 
       3.673312263357e-05       1.547276661114e+02 
       4.991522204024e-05       2.080113794532e+02 
       6.321741330438e-05       2.612799009975e+02 
       7.667744794647e-05       3.147821346282e+02 
       9.033437646342e-05       3.687328785104e+02 
       1.042289120188e-04       4.233313098887e+02 
       1.184038146935e-04       4.787706583077e+02 
       1.329043011085e-04       5.352440062801e+02 
       1.477784842285e-04       5.929484882429e+02 
       1.630778480829e-04       6.520884095591e+02 
       1.788577619147e-04       7.128782370785e+02 
       1.951780378295e-04       7.755448959467e+02 
       2.121035352249e-04       8.403303905015e+02 
       2.297048140027e-04       9.074942338224e+02 
       2.480588365897e-04       9.773158710621e+02 
       2.672497158609e-04       1.050097166772e+03 
       2.873695018561e-04       1.126164876624e+03 
       3.085189943159e-04       1.205872956885e+03 
       3.308085600984e-04       1.289604968768e+03 
       3.543589240188e-04       1.377775987202e+03 
       3.793018881710e-04       1.470834125970e+03 
       4.057809181112e-04       1.569261567217e+03 
       4.339515145640e-04       1.673574158011e+03 
       4.639812673523e-04       1.784320212989e+03 
       4.960494659542e-04       1.902077234207e+03 
       5.303461218052e-04       2.027446099958e+03 
       5.670702464817e-04       2.161043174154e+03 
       6.064272344666e-04       2.303488236117e+03 
       6.486252280757e-04       2.455389870594e+03 
       6.938704040427e-04       2.617326212587e+03 
       7.423612220804e-04       2.789823428052e+03 
       7.942818143901e-04       2.973330948090e+03 
       8.497948593084e-04       3.168196166876e+03 
       9.090344459923e-04       3.374640075995e+03 
       9.720995622189e-04       3.592736111995e+03 
       1.039048882157e-03       3.822395024058e+03 
       1.109897463525e-03       4.063357583248e+03 
       1.184615777047e-03       4.315196350418e+03 
       1.263131212480e-03       4.577328169156e+03 
       1.345331891431e-03       4.849032410177e+03 
       1.431072337316e-03       5.129444285940e+03 
       1.520180366080e-03       5.417681616240e+03 
       1.612464497359e-03       5.712789579354e+03 
       1.707721239005e-03       6.013789968939e+03 
       1.805741735243e-03       6.319710896891e+03 
       1.906317445321e-03       6.629608254713e+03 
       2.009244694242e-03       6.942581934549e+03 
       2.114328081838e-03       7.257787308594e+03 
       2.221382838538e-03       7.574443275956e+03 
       2.330236275376e-03       7.891835188579e+03 
       2.440728499608e-03       8.209316228031e+03 
       2.552712565896e-03       8.526304728704e+03 
       2.666054216373e-03       8.842282902214e+03 
       2.780631338935e-03       9.156791491897e+03 
       2.896333247307e-03       9.469425813711e+03 
       3.013059862166e-03       9.779831419868e+03 
       3.130720851603e-03       1.008769834284e+04 
       3.249234771951e-03       1.039275787625e+04 
       3.368528236517e-03       1.069477704480e+04 
       3.488535129510e-03       1.099355605767e+04 
       3.609195874977e-03       1.128892308918e+04 
       3.730456765249e-03       1.158073190392e+04 
       3.852269349732e-03       1.186885918528e+04 
       3.974589882514e-03       1.215320326960e+04 
       4.097378825736e-03       1.243367740734e+04 
       4.220600404856e-03       1.271021261561e+04 
       4.344222211530e-03       1.298275249422e+04 
       4.468214849740e-03       1.325125374482e+04 
       4.592551620892e-03       1.351568170406e+04 
       4.717208243849e-03       1.377601408587e+04 
       4.842162606110e-03       1.403223064005e+04 
       4.967394542702e-03       1.428432658010e+04 
       5.092885639653e-03       1.453230266916e+04 
       5.218619059237e-03       1.477615460764e+04 
       5.344579384483e-03       1.501589129103e+04 
       5.470752480720e-03       1.525151910499e+04 
       5.597125372174e-03       1.548306033467e+04 
       5.723686131880e-03       1.571053150365e+04 
       5.850423783358e-03       1.593394967990e+04 
       5.977328212707e-03       1.615334700354e+04 
       6.104390089911e-03       1.636873918230e+04 
       6.231600798311e-03       1.658015915080e+04 
       6.358952371315e-03       1.678763810599e+04 
       6.486437435537e-03       1.699119744125e+04 
       6.614049159636e-03       1.719088101672e+04 
